Correlation,Platform_Type,Setting,Full setting,Spatial scale,Temporal scale,Amount of data,PUD,Metric if PUD = No,Full correlation,Citation,In figure 3?,Sample size,# parks in correlation,Multiple parks,Temporal,Subregions
0.62,Flickr (r),variety,Over 800 tourism sites globally,Whole unit,Mean annual, 7 years ,yes,,R2 = 0.386,"(Wood, Guerry, Silver, & Lacayo, 2013)",yes,836,836,y,n,n
0.47,Flickr (r),state,State parks in Vermont (U.S.),Whole park,"8-year sum, only summer months",8 years ,yes,,R2= 0.22,"(Sonter, Watson, Wood, & Ricketts, 2016)",yes,34,34,y,n,n
0.58,Flickr (r),urban,Urban parks in New York City (U.S.),Whole park; excluded parks with < 3 daily observations ,"2-year sum, only summer months",Flickr: 10 years,yes,,Flickr: r = 0.58,"(Hamstead, Fisher, Ilieva, Wood, McPhearson, & Kremer, 2018)",yes,33,33,y,n,n
0.82,Flickr (r),urban,"Urban parks in Twin Cities, MN (U.S.)",Whole park,Mean annual,Flickr: 10 years,yes,,Flickr R2 = 0.67,"(Donahue, Keeler, Wood, Fisher, Hamstead, & McPhearson, 2018)",yes,76,76,y,n,n
0.8,Flickr (r),national,All U.S. National Forests,Whole forest,Mean annual,11 years ,yes,,"r = 0.80 
(varies by region)","(Fischer et al, 2018)",yes,114,114,y,n,n
0.84,Flickr (r),national,A National Park in Spain,Whole park,"Monthly, but aggregated 7 years","7 years
",yes,,r = 0.84,"(Barros, Moya-Gomez, & Gutierrez, 2019)",yes,12,1,n,y,n
0.52,Flickr (r),variety,National and State Parks in the northern forest region (U.S.),Whole park,Summers,5 years,no,total images,R2 = 0.272,"(Kuehn et al., 2019)",yes,350,75,y,n,n
0.8,Flickr (r),variety,436 protected areas globally,Whole park,Mean annual,9 years,no,total photographers,R2 = 0.64; r = 0.80,"(Levin, Kark, & Crandall, 2015)",yes,436,436,y,n,n
0.97,Flickr (r),national,16 national parks across Germany,Whole park,Mean annual,14 years,yes,,Flickr: r = 0.97,"(Sinclair, Mayer, Woltering, & Ghermandi, 2020)",yes,15,15,y,n,n
0.77,Flickr (Rs),national,National Parks in South Africa,Whole park,Annual,1 year ,yes,,Flickr: Rs = 0.77 ,"(Tenkanen et al., 2017)",yes,21,21,y,n,n
0.63,Flickr (Rs),national,National Parks in Finland,Whole park,Annual,1 year ,yes,,Flickr: Rs =  0.63,"(Tenkanen et al., 2017)",yes,35,35,y,n,n
0.47,Flickr (Rs),variety,All protected areas in Victoria (Australia),Whole park,Mean annual,9 years,no,total images,Rs = 0.364 includes parks with no visitation data with visitation = 0; Rs = 0.465 if the parks with no visitation data are not included. ,"(Levin, Lechner, & Brown 2017)",yes,163,163,y,n,n
0.25,Flickr (Rs),national,A National Park in Argentina,Whole unit,Weekly,"5 years, only peak season (5 months)",no,total images,Rs = 0.249,"(Walden-Schreiner, Rossi, Barros, Pickering, & Leung, 2018)",yes,108,1,n,y,n
0.74,Flickr (Rs),variety,Protected areas in a Chilean biodiversity hotspot,Whole unit,Mean annual,8 years ,yes,,Rs = 0.74,"(Martinez-Harms et al., 2018)",yes,32,32,y,n,n
0.76,Twitter (r),urban,Urban parks in New York City (U.S.),Whole park; excluded parks with < 3 daily observations ,"2-year sum, only summer months",Twitter: 3 years,yes,,Twitter: r = 0.76,"(Hamstead, Fisher, Ilieva, Wood, McPhearson, & Kremer, 2018)",yes,33,33,y,n,n
0.8,Twitter (r),urban,"Urban parks in Twin Cities, MN (U.S.)",Whole park,Mean annual,Twitter: 3 years,yes,,Twitter R2 = 0.64,"(Donahue, Keeler, Wood, Fisher, Hamstead, & McPhearson, 2018)",yes,76,76,y,n,n
0.59,Twitter (Rs),national,National Parks in South Africa,Whole park,Annual,1 year ,yes,,Twitter: Rs = 0.59,"(Tenkanen et al., 2017)",yes,21,21,y,n,n
0.81,Twitter (Rs),national,National Parks in Finland,Whole park,Annual,1 year ,yes,,Twitter: Rs = 0.81,"(Tenkanen et al., 2017)",yes,35,35,y,n,n
0.69,Instagram (Rs),national,National Parks in South Africa,Whole park,Annual,1 year ,yes,,Instagram: Rs = 0.69,"(Tenkanen et al., 2017)",yes,21,21,y,n,n
0.83,Instagram (Rs),national,National Parks in Finland,Whole park,Annual,1 year ,yes,,Instagram: Rs = 0.83,"(Tenkanen et al., 2017)",yes,35,35,y,n,n
0.67,Instagram (Rs),national,A National Park in Finland,Subregions within a park,2.4-year sum,2.4 years ,no,,Rs = 0.67,"(Heikinheimo et al., 2017)",yes,9,1,n,n,y
0.79,Flickr (r),national,A National Forest in Washington State (U.S.),Trailshed,"Monthly, but aggregated 11 years",11 years,yes,,r = 0.79,"(Fischer et al, 2018)",yes,35,1,n,n,y
0.83,MapMyFit. (r),variety,"Three parks in Queensland, Australia",Trails,3-year sum,3 years,N/A,,R2 = 0.681 for all activities; higher for running (0.836) and lower for walking (0.457) and biking (0.284),"(Norman, Pickering, & Castley, 2019)",yes,14,3,NA,n,y
0.9,MapMyFit. (r),other,"A conservation park in Queensland, Australia",Trails,Mean monthly,"13 years for Flickr, unsure about trail counters",N/A,,R2 = 0.803; higher for running (0.864) and lower for walking (0.588),"(Norman & Pickering, 2017)",yes,7,1,n,n,y
